please_indicate_what_best_describes_you_,What_outsourced_public_service,What_outsourced_public_service/garbage_waste_disposal,What_outsourced_public_service/fresh_water_supply,What_outsourced_public_service/cleaning_of_business_environme,What_outsourced_public_service/use_of_car_parking_space,What_outsourced_public_service/AUTOMATIC,please_specify,name_of_your_county_government_,group_qo7it23/the_county_government_will_have_modern_looking_equipment_,group_qo7it23/the_physical_facilities_at_county_government_offices_will_be_visually_appealing_,group_qo7it23/employees_at_county_government_offices_will_be_neat_in_their_appearance_,group_qo7it23/materials_associated_with_the_service_pamphlets_or_statements_will_be_visually_appealing_at_county_government_offices_,group_qo7it23/when_the_county_government_promises_to_do_something_by_a_certain_time_they_do_,group_qo7it23/when_a_customer_has_a_problem_county_government_officers_will_show_a_sincere_interest_in_solving_it_,group_qo7it23/county_government_officers_will_perform_the_service_right_the_first_time_,group_qo7it23/the_county_government_will_provide_the_service_at_the_time_they_promise_to_do_so_,group_qo7it23/the_county_government_will_insist_on_error_free_records_,group_qo7it23/employees_of_the_county_government_will_tell_customers_exactly_when_services_will_be_performed_,group_qo7it23/employees_of_the_county_government_will_give_prompt_service_to_customers_,group_qo7it23/employees_of_the_county_government_will_always_be_willing_to_help_customers_,group_qo7it23/employees_of_the_county_government_will_never_be_too_busy_to_respond_to_customers_requests_,group_qo7it23/the_behavior_of_employees_in_the_county_government_offices_will_instil_confidence_in_customers_,group_qo7it23/customers_of_county_government_will_feel_safe_in_transactions_,group_qo7it23/employees_of_the_county_government_will_be_consistently_courteous_with_customers_,group_qo7it23/employees_of_the_county_government_will_have_the_knowledge_to_answer_customers_questions_,group_qo7it23/county_government_officers_will_give_customers_individual_attention_,group_qo7it23/county_governments_will_have_operating_hours_convenient_to_all_their_customers_,group_qo7it23/county_governments_will_have_employees_who_give_customers_personal_service_,group_qo7it23/county_governments_will_have_their_customers_best_interest_at_heart_,group_qo7it23/the_employees_of_the_county_government_will_understand_the_specific_needs_of_their_customers_,group_my4qi80/the_county_government_has_modern_looking_equipment_,group_my4qi80/the_county_government_s_physical_features_are_visually_appealing_,group_my4qi80/the_county_government_s_reception_desk_employees_are_neat_appearing_,group_my4qi80/materials_associated_with_the_service_such_as_pamphlets_or_statements_are_visually_appealing_at_the_county_government_offices_,group_my4qi80/when_the_county_government_promises_to_do_something_by_a_certain_time_it_does_so_,group_my4qi80/when_you_have_a_problem_the_county_government_employees_show_a_sincere_interest_in_solving_it_,group_my4qi80/the_county_government_performs_the_service_right_the_first_time_,group_my4qi80/the_county_government_provides_its_service_at_the_time_it_promises_to_do_so_,group_my4qi80/the_county_government_insists_on_error_free_records_,group_my4qi80/employees_in_the_county_government_offices_tell_you_exactly_when_the_services_will_be_performed_,group_my4qi80/employees_in_the_county_government_offices_give_you_prompt_service_,group_my4qi80/employees_in_the_county_government_offices_are_always_willing_to_help_you_,group_my4qi80/employees_in_the_county_government_offices_are_never_too_busy_to_respond_to_your_request_,group_my4qi80/the_behavior_of_employees_in_the_county_government_offices_instils_confidence_in_you_,group_my4qi80/you_feel_safe_in_your_transactions_with_the_county_government_officers_,group_my4qi80/employees_of_the_county_government_are_consistently_courteous_with_you_,group_my4qi80/employees_of_the_county_government_have_the_knowledge_to_answer_your_questions_,group_my4qi80/employees_of_the_county_government_give_you_individual_attention_,group_my4qi80/the_county_government_has_operating_hours_convenient_to_all_its_customers_,group_my4qi80/the_county_government_has_employees_who_give_you_personal_attention_,group_my4qi80/the_county_government_has_your_best_interests_at_heart_,group_my4qi80/the_employees_of_the_county_government_understand_your_specific_needs_,start,end,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
resident_custo,garbage_waste_disposal fresh_water_supply cleaning_of_business_environme,TRUE,TRUE,TRUE,FALSE,FALSE,,mombasa_county,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,strongly_agree,neutral,neutral,agree,neutral,neutral,neutral,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,disagree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,2016-03-07T14:24:11.730+03,2016-03-07T14:28:08.768+03,uuid:be47a8fb-ea81-4ef2-af16-3beaabc52480,690046,be47a8fb-ea81-4ef2-af16-3beaabc52480,2016-03-07T11:28:24,1,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,mombasa_county,strongly_agree,strongly_agree,strongly_agree,strongly_agree,neutral,agree,strongly_agree,neutral,strongly_agree,neutral,neutral,neutral,neutral,neutral,agree,agree,neutral,neutral,neutral,neutral,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,disagree,neutral,agree,agree,agree,neutral,neutral,neutral,disagree,agree,agree,agree,neutral,neutral,neutral,2016-03-07T14:20:51.358+03,2016-03-07T14:23:49.525+03,uuid:ba0a7878-433a-435a-85d4-f4411c2db2f6,690045,ba0a7878-433a-435a-85d4-f4411c2db2f6,2016-03-07T11:28:23,2,,-1,,
resident_custo,fresh_water_supply,FALSE,TRUE,FALSE,FALSE,FALSE,,mombasa_county,agree,strongly_agree,neutral,neutral,disagree,neutral,disagree,agree,disagree,disagree,agree,agree,neutral,strongly_agree,agree,disagree,agree,agree,strongly_agree,disagree,disagree,neutral,agree,strongly_agree,neutral,neutral,disagree,neutral,neutral,agree,disagree,disagree,agree,agree,neutral,strongly_agree,agree,disagree,agree,agree,strongly_agree,disagree,disagree,neutral,2016-03-07T14:17:11.310+03,2016-03-07T14:20:40.414+03,uuid:61451021-3428-4028-b278-0e95f822ee53,690044,61451021-3428-4028-b278-0e95f822ee53,2016-03-07T11:28:22,3,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,mombasa_county,strongly_agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,neutral,agree,neutral,agree,neutral,agree,neutral,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,neutral,neutral,neutral,agree,neutral,agree,neutral,neutral,agree,neutral,agree,neutral,2016-03-07T14:12:38.091+03,2016-03-07T14:16:24.599+03,uuid:1ec12eeb-2cca-4485-a76a-87a4e2a1bee9,689783,1ec12eeb-2cca-4485-a76a-87a4e2a1bee9,2016-03-07T11:16:42,4,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply use_of_car_parking_space,TRUE,TRUE,FALSE,TRUE,FALSE,,mombasa_county,neutral,disagree,agree,neutral,disagree,neutral,disagree,disagree,neutral,agree,neutral,neutral,agree,agree,agree,disagree,agree,neutral,agree,neutral,disagree,agree,disagree,neutral,neutral,disagree,disagree,neutral,disagree,disagree,neutral,agree,neutral,neutral,disagree,agree,disagree,neutral,agree,neutral,neutral,disagree,neutral,neutral,2016-03-07T14:10:13.003+03,2016-03-07T14:12:26.363+03,uuid:be34c309-fc39-4247-8cc5-93684bd38616,689782,be34c309-fc39-4247-8cc5-93684bd38616,2016-03-07T11:16:41,5,,-1,,
resident_custo,use_of_car_parking_space,FALSE,FALSE,FALSE,TRUE,FALSE,,mombasa_county,disagree,agree,agree,neutral,disagree,neutral,disagree,disagree,disagree,disagree,neutral,neutral,disagree,disagree,agree,disagree,neutral,disagree,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,neutral,neutral,option_5,option_5,disagree,neutral,disagree,neutral,neutral,disagree,disagree,disagree,agree,disagree,neutral,agree,disagree,disagree,2016-03-07T14:07:32.114+03,2016-03-07T14:09:54.232+03,uuid:7948f28f-c37e-4b3a-aab1-2f372ef2d4d4,689781,7948f28f-c37e-4b3a-aab1-2f372ef2d4d4,2016-03-07T11:16:41,6,,-1,,
resident_custo,use_of_car_parking_space,FALSE,FALSE,FALSE,TRUE,FALSE,,mombasa_county,agree,disagree,agree,agree,neutral,disagree,neutral,agree,neutral,agree,neutral,neutral,disagree,neutral,agree,agree,agree,agree,disagree,neutral,neutral,neutral,agree,agree,neutral,neutral,neutral,agree,neutral,agree,disagree,agree,agree,option_5,disagree,disagree,agree,neutral,disagree,option_5,disagree,neutral,agree,disagree,2016-03-07T14:04:39.543+03,2016-03-07T14:07:19.496+03,uuid:d87a7a20-f19f-442a-8204-a374109ac3d7,689780,d87a7a20-f19f-442a-8204-a374109ac3d7,2016-03-07T11:16:40,7,,-1,,
business_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,mombasa_county,agree,neutral,strongly_agree,agree,disagree,strongly_disag,agree,disagree,agree,disagree,disagree,disagree,disagree,agree,agree,disagree,neutral,disagree,strongly_disag,strongly_disag,neutral,neutral,agree,neutral,strongly_agree,neutral,option_5,disagree,neutral,disagree,agree,neutral,neutral,disagree,disagree,agree,agree,disagree,neutral,disagree,option_5,option_5,neutral,neutral,2016-03-07T14:00:40.469+03,2016-03-07T14:03:06.785+03,uuid:052882b1-f0dc-454b-b25a-66d87f055203,689704,052882b1-f0dc-454b-b25a-66d87f055203,2016-03-07T11:03:25,8,,-1,,
resident_custo,garbage_waste_disposal fresh_water_supply,TRUE,TRUE,FALSE,FALSE,FALSE,,mombasa_county,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,neutral,neutral,neutral,agree,agree,agree,neutral,neutral,neutral,neutral,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,agree,agree,2016-03-07T13:58:04.976+03,2016-03-07T14:00:23.498+03,uuid:399d3c67-f418-467d-b818-ef4a718dca7f,689703,399d3c67-f418-467d-b818-ef4a718dca7f,2016-03-07T11:03:24,9,,-1,,
resident_custo,use_of_car_parking_space,FALSE,FALSE,FALSE,TRUE,FALSE,,mombasa_county,strongly_disag,strongly_disag,strongly_disag,agree,agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agree,agree,agree,agree,neutral,agree,agree,agree,agree,agree,agree,agree,neutral,neutral,neutral,neutral,strongly_agree,agree,neutral,neutral,neutral,neutral,2016-03-07T13:53:37.626+03,2016-03-07T13:56:06.914+03,uuid:f97fc484-86f7-4f71-b8fb-617c5356a869,689702,f97fc484-86f7-4f71-b8fb-617c5356a869,2016-03-07T11:03:23,10,,-1,,
